packerid,casingtubingid,packerdepth,packertype,createddate,updateddate,deleteddate,entl_region,entl_country,entl_state,entl_county,entl_offshorecode,region,country,stateprovince,county,field,basinname,district
996873,7853847,6403.0,,2018-12-11 06:22:02.833,2018-12-11 06:22:02.833,,NAM,US,CO,MORGAN,,NAM,US,CO,MORGAN,WILDCAT CREEK,DENVER JULESBURG,
996872,7853643,4906.0,,2018-12-11 06:22:02.833,2019-04-18 04:22:31.880,,NAM,US,CO,LOGAN,,NAM,US,CO,LOGAN,KENZIE,DENVER JULESBURG,
996871,7853398,5439.0,,2018-12-11 06:22:02.833,2018-12-11 06:22:02.833,,NAM,US,CO,MORGAN,,NAM,US,CO,MORGAN,ADENA,DENVER JULESBURG,
996870,7849098,4626.0,,2018-12-11 06:22:02.833,2018-12-11 06:22:02.833,,NAM,US,CO,LOGAN,,NAM,US,CO,LOGAN,PADRONI WEST,DENVER JULESBURG,
996472,7973171,6891.0,,2018-12-11 06:22:02.833,2019-05-02 04:36:03.550,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996471,7960041,5646.0,,2018-12-11 06:22:02.833,2019-06-05 04:03:06.393,,NAM,US,CO,YUMA,,NAM,US,CO,YUMA,WILDCAT,DENVER JULESBURG,
996470,7952986,6827.0,,2018-12-11 06:22:02.833,2019-06-05 04:03:06.393,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996469,7952085,6717.0,,2018-12-11 06:22:02.833,2019-06-05 04:03:06.393,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996468,7948320,7743.0,,2018-12-11 06:22:02.833,2019-06-05 04:03:06.393,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996467,7938842,7495.0,,2018-12-11 06:22:02.833,2019-05-02 04:36:03.550,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996466,7938615,7086.0,,2018-12-11 06:22:02.833,2019-05-02 04:36:03.550,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996465,7938601,6049.0,,2018-12-11 06:22:02.833,2019-05-02 04:36:03.550,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996464,7938506,7036.0,,2018-12-11 06:22:02.833,2019-06-05 04:03:06.393,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996463,7934662,6900.0,,2018-12-11 06:22:02.833,2019-06-05 04:03:06.393,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996462,7934597,6772.0,,2018-12-11 06:22:02.833,2019-06-05 04:03:06.393,,NAM,US,CO,WELD,,NAM,US,CO,WELD,CROW,DENVER JULESBURG,
996461,7934218,6900.0,,2018-12-11 06:22:02.833,2019-05-02 04:36:03.550,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996460,7925386,8360.0,,2018-12-11 06:22:02.833,2019-05-02 04:36:03.550,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996459,7923656,7154.0,,2018-12-11 06:22:02.833,2019-03-14 05:57:53.840,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996458,7923237,6975.0,,2018-12-11 06:22:02.833,2019-01-17 06:15:12.173,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996457,7921857,7375.0,,2018-12-11 06:22:02.833,2019-04-18 04:22:31.880,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996456,7921467,8300.0,,2018-12-11 06:22:02.833,2019-04-18 04:22:31.880,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996455,7920713,7700.0,,2018-12-11 06:22:02.833,2019-05-02 04:36:03.550,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996454,7918653,7187.0,,2018-12-11 06:22:02.833,2018-12-11 06:22:02.833,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996453,7917059,7800.0,,2018-12-11 06:22:02.833,2019-04-18 04:22:31.880,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996452,7916570,5609.0,,2018-12-11 06:22:02.833,2018-12-11 06:22:02.833,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WHITE BUTTE,DENVER JULESBURG,
996451,7916357,8045.0,,2018-12-11 06:22:02.833,2019-04-18 04:22:31.880,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996450,7916331,7039.0,,2018-12-11 06:22:02.833,2019-05-02 04:36:03.550,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996449,7915757,8360.0,,2018-12-11 06:22:02.833,2019-04-18 04:22:31.880,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996448,7915154,7990.0,,2018-12-11 06:22:02.833,2019-03-14 05:57:53.840,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996447,7915017,7150.0,,2018-12-11 06:22:02.833,2019-05-02 04:36:03.550,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996446,7914278,6980.0,,2018-12-11 06:22:02.833,2019-04-05 06:37:00.317,,NAM,US,CO,WELD,,NAM,US,CO,WELD,BIRD HAVEN,DENVER JULESBURG,
996445,7912530,8023.0,,2018-12-11 06:22:02.833,2019-06-05 04:03:06.393,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996444,7912450,8110.0,,2018-12-11 06:22:02.833,2019-06-05 04:03:06.393,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996443,7912006,7270.0,,2018-12-11 06:22:02.833,2019-04-18 04:22:31.880,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996442,7911686,7098.0,,2018-12-11 06:22:02.833,2019-06-05 04:03:06.393,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
